,Company Name,Ticker
302,Sports Ventures Acquisition Corp. Warrant,AKICW
303,Embotelladora Andina S.A.,AKO/A
304,Embotelladora Andina S.A.,AKO/B
305,Acadia Realty Trust Common Stock,AKR
306,Akero Therapeutics Inc. Common Stock,AKRO
307,Akoustis Technologies Inc. Common Stock,AKTS
308,Akari Therapeutics plc ADR (0.01 USD),AKTX
309,Akumin Inc. Common Shares,AKU
310,Akouos Inc. Common Stock,AKUS
311,Akoya BioSciences Inc. Common Stock,AKYA
312,Air Lease Corporation Class A Common Stock,AL
313,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,AL^A
314,Alberton Acquisition Corporation Ordinary Shares,ALAC
315,Alberton Acquisition Corporation Rights exp April 26 2021,ALACR
316,Alberton Acquisition Corporation Unit,ALACU
317,Alberton Acquisition Corporation Warrant,ALACW
318,Albemarle Corporation Common Stock,ALB
319,Albireo Pharma Inc. Common Stock,ALBO
320,Alcon Inc. Ordinary Shares,ALC
321,AltC Acquisition Corp. Class A Common Stock,ALCC
322,Alico Inc. Common Stock,ALCO
323,Aldeyra Therapeutics Inc. Common Stock,ALDX
324,Allete Inc.,ALE
325,Alector Inc. Common Stock,ALEC
326,Alexander & Baldwin Inc. Common Stock REIT Holding Company,ALEX
327,ALFI Inc. Common Stock,ALF
328,ALFI Inc. Warrant,ALFIW
329,Alamo Group Inc. Common Stock,ALG
330,Allegro MicroSystems Inc. Common Stock,ALGM
331,Align Technology Inc. Common Stock,ALGN
332,Aligos Therapeutics Inc. Common Stock,ALGS
333,Allegiant Travel Company Common Stock,ALGT
334,Alignment Healthcare Inc. Common Stock,ALHC
335,Alimera Sciences Inc. Common Stock,ALIM
336,Altera Infrastructure L.P. 7.25% Series A ,ALIN^A
337,Altera Infrastructure L.P. 8.50% Series B ,ALIN^B
338,Altera Infrastructure L.P. 8.875% Series E ,ALIN^E
339,Alight Inc. Class A Common Stock,ALIT
340,ALJ Regional Holdings Inc. Common Stock,ALJJ
341,Alaska Air Group Inc. Common Stock,ALK
342,Alkermes plc Ordinary Shares,ALKS
343,Alkami Technology Inc. Common Stock,ALKT
344,Allstate Corporation (The) Common Stock,ALL
345,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,ALL^B
346,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,ALL^G
347,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,ALL^H
348,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,ALL^I
349,Allegion plc Ordinary Shares,ALLE
350,Allakos Inc. Common Stock,ALLK
351,Allogene Therapeutics Inc. Common Stock,ALLO
352,Allot Ltd. Ordinary Shares,ALLT
353,Ally Financial Inc. Common Stock,ALLY
354,Allena Pharmaceuticals Inc. Common Stock,ALNA
355,Alnylam Pharmaceuticals Inc. Common Stock,ALNY
356,AstroNova Inc. Common Stock,ALOT
357,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),ALP^Q
358,Alpha Healthcare Acquisition Corp. III Class A Common Stock,ALPA
359,Alpha Healthcare Acquisition Corp. III Units,ALPAU
360,Alpha Healthcare Acquisition Corp. III Warrant,ALPAW
361,Alpine Immune Sciences Inc. Common Stock,ALPN
362,Alpine 4 Holdings Inc. Class A Common Stock,ALPP
363,Alarm.com Holdings Inc. Common Stock,ALRM
364,Aileron Therapeutics Inc. Common Stock,ALRN
365,Alerus Financial Corporation Common Stock,ALRS
366,Allison Transmission Holdings Inc. Common Stock,ALSN
367,Altimmune Inc. Common Stock,ALT
368,Alta Equipment Group Inc. Class A Common Stock,ALTG
369,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),ALTG^A
370,Altus Midstream Company Class A Common Stock,ALTM
371,Alto Ingredients Inc. Common Stock,ALTO
372,Altair Engineering Inc. Class A Common Stock,ALTR
373,Altitude Acquisition Corp. Class A Common Stock,ALTU
374,Altitude Acquisition Corp. Warrant,ALTUW
375,Autoliv Inc. Common Stock,ALV
376,AlloVir Inc. Common Stock,ALVR
377,Alexander's Inc. Common Stock,ALX
378,ALX Oncology Holdings Inc. Common Stock,ALXO
379,Alithya Group inc. Class A Subordinate Voting Shares,ALYA
380,Alzamend Neuro Inc. Common Stock,ALZN
381,Antero Midstream Corporation Common Stock,AM
382,Amalgamated Financial Corp. Common Stock (DE),AMAL
383,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),AMAM
384,American Acquisition Opportunity Inc. Class A Common Stock,AMAO
385,American Acquisition Opportunity Inc. Units,AMAOU
386,American Acquisition Opportunity Inc. Warrant,AMAOW
387,Applied Materials Inc. Common Stock,AMAT
388,Ambarella Inc. Ordinary Shares,AMBA
389,Ambac Financial Group Inc. Common Stock,AMBC
390,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,AMBO
391,Ardagh Metal Packaging S.A. Ordinary Shares,AMBP
392,AMC Entertainment Holdings Inc. Class A Common Stock,AMC
393,AMCI Acquisition Corp. II Class A Common Stock,AMCI
394,AMCI Acquisition Corp. II Units,AMCIU
395,AMCI Acquisition Corp. II Warrant,AMCIW
396,Amcor plc Ordinary Shares,AMCR
397,AMC Networks Inc. Class A Common Stock,AMCX
398,Advanced Micro Devices Inc. Common Stock,AMD
399,AMETEK Inc.,AME
400,Amedisys Inc Common Stock,AMED
401,Apollo Medical Holdings Inc. Common Stock,AMEH
402,Affiliated Managers Group Inc. Common Stock,AMG
403,Amgen Inc. Common Stock,AMGN
404,American Homes 4 Rent Common Shares of Beneficial Interest,AMH
405,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,AMH^F
406,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,AMH^G
407,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,AMH^H
408,AssetMark Financial Holdings Inc. Common Stock,AMK
409,Amkor Technology Inc. Common Stock,AMKR
410,AMN Healthcare Services Inc AMN Healthcare Services Inc,AMN
411,American National Bankshares Inc. Common Stock,AMNB
412,Allied Motion Technologies Inc.,AMOT
413,America Movil S.A.B. de C.V. Class A American Depositary Shares,AMOV
414,Ameriprise Financial Inc. Common Stock,AMP
415,Ampio Pharmaceuticals Inc.,AMPE
416,Amplitech Group Inc. Common Stock,AMPG
417,Amplitech Group Inc. Warrants,AMPGW
418,Amphastar Pharmaceuticals Inc. Common Stock,AMPH
419,Advanced Merger Partners Inc. Class A Common Stock,AMPI
420,Amplitude Inc. Class A Common Stock,AMPL
421,Amplify Energy Corp. Common Stock,AMPY
422,Alpha Metallurgical Resources Inc. Common Stock,AMR
423,Ameresco Inc. Class A Common Stock,AMRC
424,A-Mark Precious Metals Inc. Common Stock,AMRK
425,Amarin Corporation plc,AMRN
426,Amyris Inc. Common Stock,AMRS
427,Amneal Pharmaceuticals Inc. Class A Common Stock,AMRX
428,American Shared Hospital Services Common Stock,AMS
429,American Superconductor Corporation Common Stock,AMSC
430,AMERISAFE Inc. Common Stock,AMSF
431,Amesite Inc. Common Stock,AMST
432,American Software Inc. Class A Common Stock,AMSWA
433,American Tower Corporation (REIT) Common Stock,AMT
434,Amerant Bancorp Inc. Class A Common Stock,AMTB
435,Amerant Bancorp Inc. Class B Common Stock,AMTBB
436,Applied Molecular Transport Inc. Common Stock,AMTI
437,Aemetis Inc. Common Stock,AMTX
438,American Woodmark Corporation Common Stock,AMWD
439,American Well Corporation Class A Common Stock,AMWL
440,America Movil S.A.B. de C.V. American Depository Receipt Series L,AMX
441,Amryt Pharma plc American Depositary Shares,AMYT
442,Amazon.com Inc. Common Stock,AMZN
443,AutoNation Inc. Common Stock,AN
444,AnaptysBio Inc. Common Stock,ANAB
445,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,ANAC
446,American National Group Inc. Common Stock,ANAT
447,Andersons Inc. (The) Common Stock,ANDE
448,Anebulo Pharmaceuticals Inc. Common Stock,ANEB
449,Arista Networks Inc. Common Stock,ANET
450,Abercrombie & Fitch Company Common Stock,ANF
451,Angi Inc. Class A Common Stock,ANGI
452,Angion Biomedica Corp. Common Stock,ANGN
453,AngioDynamics Inc. Common Stock,ANGO
454,Anika Therapeutics Inc. Common Stock,ANIK
455,ANI Pharmaceuticals Inc.,ANIP
456,Anixa Biosciences Inc. Common Stock,ANIX
457,Annexon Inc. Common Stock,ANNX
458,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,ANPC
459,ANSYS Inc. Common Stock,ANSS
460,AirNet Technology Inc. American Depositary Shares,ANTE
461,Anthem Inc. Common Stock,ANTM
462,Annovis Bio Inc. Common Stock,ANVS
463,Sphere 3D Corp. Common Shares,ANY
464,Anzu Special Acquisition Corp I Class A Common Stock,ANZU
465,Anzu Special Acquisition Corp I Units,ANZUU
466,Anzu Special Acquisition Corp I Warrant,ANZUW
467,Aberdeen Total Dynamic Dividend Fund Common Stock,AOD
468,Angel Oak Mortgage Inc. Common Stock,AOMR
469,Aon plc Class A Ordinary Shares (Ireland),AON
470,A.O. Smith Corporation Common Stock,AOS
471,Alpha and Omega Semiconductor Limited Common Shares,AOSL
472,American Outdoor Brands Inc. Common Stock ,AOUT
473,Ampco-Pittsburgh Corporation Common Stock,AP
474,APA Corporation Common Stock,APA
475,StoneBridge Acquisition Corporation Class A Ordinary Shares,APAC
476,StoneBridge Acquisition Corporation Unit,APACU
477,StoneBridge Acquisition Corporation Warrant,APACW
478,Artisan Partners Asset Management Inc. Class A Common Stock,APAM
